LocationID,ApogeeID
0,5045,2M00003987+6236456
1,5067,2M00023036+8524194
2,4548,2M00023179+1521164
3,4590,2M00031962-0017109
4,4287,2M00041959+7547098
5,4590,2M00050265+0116236
6,4120,2M00062867+6955129
7,4590,2M00065234+0151397
8,4590,2M00065508+0154022
9,4590,2M00092179+0038065
10,4590,2M00092573+0036224
11,4424,2M00093745+5823242
12,5038,2M00132431-1410460
13,4287,2M00134329+7346435
14,5067,2M00140613+8541300
15,4119,2M00150792+6559126
16,5038,2M00151077-1416285
17,5046,2M00160071+7403548
18,5067,2M00170781+8551505
19,5038,2M00171482-1510258
20,5038,2M00171655-1252423
21,5038,2M00171810-1453037
22,4250,2M00174625+5856272
23,5038,2M00182381-1511057
24,5038,2M00182768-1412225
25,5046,2M00194158+7350330
26,5038,2M00194534-1404204
27,5038,2M00194821-1524079
28,5038,2M00202076-1407381
29,5038,2M00202684-1408080
30,5038,2M00204650-1506252
31,5038,2M00215362-1447430
32,5097,2M00232817+5708446
33,4250,2M00252677+5819348
34,4243,2M00265252+6359169
35,4250,2M00290829+6001421
36,5097,2M00300613+5719559
37,4256,2M00302865+5553105
38,4119,2M00304380+6752210
39,5097,2M00315685+5743383
40,5067,2M00344379+8522254
41,4243,2M00350618+6345463
42,4256,2M00360002+5519491
43,4250,2M00373811+5912258
44,5067,2M00385579+8605109
45,5067,2M00395336+8431073
46,5097,2M00400630+5644107
47,4476,2M00411929+1718359
48,4217,2M00430905+8407348
49,5067,2M00441812+8516024
50,4476,2M00443313+1734287
51,4476,2M00443463+1719220
52,4476,2M00452143+1634446
53,5049,2M00453126+0217282
54,5067,2M00463801+8441448
55,5049,2M00465778+0235576
56,4476,2M00470197+1751448
57,5049,2M00484410+0241261
58,5113,2M00490257+3958086
59,5113,2M00493192+4026429
60,5099,2M00581292+6332015
61,4217,2M00593409+8503084
62,5099,2M01031300+6145544
63,5048,2M01053790+5116300
64,4414,2M01103850+6655525
65,4217,2M01193634+8435481
66,4318,2M01232188+6220546
67,4477,2M01252951+1737245
68,4477,2M01281972+1731200
69,4318,2M01325477+6205304
70,4217,2M01343480+8456365
71,4425,2M01345988+6651462
72,5136,2M01443396-1749560
73,5136,2M01444703-1858468
74,5060,2M01511093+6105372
75,5111,2M01521669+3815063
76,4472,2M01525005-0353374
77,4472,2M01540092-0306019
78,5060,2M01540426+6221236
79,4472,2M01550987-0302298
80,5111,2M01551917+3749154
81,4217,2M01561714+8458408
82,4472,2M01562189-0223547
83,5060,2M01572718+6300502
84,4472,2M01583450-0349002
85,4416,2M01593686+6533283
86,4478,2M02062664+1438073
87,4309,2M02072992+5427212
88,4309,2M02082405+5454197
89,4478,2M02112972+1313487
90,4478,2M02112973+1359128
91,4271,2M02290160+6124289
92,5050,2M02293039-0818019
93,5050,2M02301066-0847529
94,5050,2M02313915-0724130
95,5056,2M02341898+4658542
96,5050,2M02342325-0828557
97,4271,2M02353225+6048063
98,5050,2M02374642-0831591
99,5100,2M02410921+5223583
100,4479,2M02411197+0727401
101,4479,2M02424580+0735211
102,5112,2M02440872+3711366
103,2045,2M02450567-0021040
104,4479,2M02451215+0730059
105,2045,2M02453568-0006180
106,5139,2M02454202-1244465
107,5139,2M02455385-1310597
108,2045,2M02472690-0012224
109,5112,2M02475163+3611472
110,2045,2M02475375-0018587
